                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                0.62147,                0.41935,                0.90777,                0.61613,                0.81109,                0.74221,                0.55335,                0.98771,                 1.1323,                 1.1785,              0.0004584,              0.0004584,              0.0004584
                     91,                 0.6201,                0.41761,                0.91776,                0.63937,                0.74607,                0.68591,                0.50487,                 1.0057,                 1.2673,                 1.1883,             0.00045107,             0.00045107,             0.00045107
                     92,                0.60119,                0.40001,                0.90843,                0.56118,                0.75882,                0.67646,                0.50163,                 1.0308,                 1.1409,                 1.2191,             0.00044373,             0.00044373,             0.00044373
                     93,                0.59789,                0.39451,                0.89894,                0.57374,                0.73505,                0.68784,                0.50632,                 1.0352,                 1.0488,                 1.2388,              0.0004364,              0.0004364,              0.0004364
                     94,                0.57943,                0.37688,                0.89563,                 0.5526,                  0.684,                0.63997,                0.45592,                 1.0629,                  1.268,                  1.245,             0.00042907,             0.00042907,             0.00042907
                     95,                0.58965,                0.38512,                0.91344,                0.49145,                0.75001,                0.61054,                0.44081,                 1.0473,                 1.4118,                 1.2316,             0.00042174,             0.00042174,             0.00042174
                     96,                0.58216,                0.37644,                0.90384,                0.60612,                0.71982,                0.65118,                0.48093,                 1.0248,                  1.283,                 1.2107,              0.0004144,              0.0004144,              0.0004144
                     97,                0.58003,                0.37864,                0.89785,                0.56164,                0.79228,                0.66977,                 0.4912,                 1.0124,                 1.2228,                 1.2249,             0.00040707,             0.00040707,             0.00040707
                     98,                0.57642,                 0.3844,                0.90632,                 0.5598,                0.79927,                0.68921,                0.49803,                 1.0137,                 1.1193,                 1.2052,             0.00039974,             0.00039974,             0.00039974
                     99,                 0.5681,                 0.3613,                0.89848,                0.55864,                0.79911,                0.69874,                0.51053,                 1.0051,                 1.0519,                  1.211,             0.00039241,             0.00039241,             0.00039241
                    100,                0.57529,                0.36746,                0.89443,                  0.563,                0.78527,                0.68032,                0.49896,                0.99256,                 1.0622,                  1.208,             0.00038507,             0.00038507,             0.00038507
                    101,                0.56378,                0.36835,                0.88732,                0.58887,                 0.7302,                0.68178,                0.49791,                 1.0236,                 1.3083,                 1.2228,             0.00037774,             0.00037774,             0.00037774
                    102,                0.55194,                0.36418,                0.89191,                0.54399,                0.76574,                0.68298,                 0.4971,                 1.0259,                 1.4408,                 1.2084,             0.00037041,             0.00037041,             0.00037041
